 * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
127.0.0.1 - - [31/Mar/2017 14:52:13] "GET /tokens?q=chinese%20 HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2017 14:52:14] "GET /search?q=chinese%20 HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2017 14:52:24] "GET /tokens?q=chinese%20 HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2017 14:52:25] "GET /tokens?q=chinese%20in%20 HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2017 14:52:28] "GET /search?q=chinese%20in%20glasgow HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2017 14:53:00] "GET /tokens?q=chinese%20 HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2017 14:53:01] "GET /tokens?q=chinese%20in%20 HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2017 14:53:06] "GET /search?q=chinese%20in%20edinburgh HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2017 14:54:14] "GET /search?q=%20in%20edinburgh HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2017 14:54:18] "GET /tokens?q=chines%20e HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2017 14:54:19] "GET /tokens?q=chinese%20 HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2017 14:54:19] "GET /tokens?q=chinese%20in%20 HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2017 14:54:23] "GET /search?q=chinese%20in%20edinburgh HTTP/1.1" 200 -
